"Question ID (machine readable)","Response ID (machine readable)","Response value","Answer requirement","Human-friendly question label"
"PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA","","TRUE","REQUIRED","Does your app collect or share any of the required user data types?"
"PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT","","TRUE","MAYBE_REQUIRED","Is all of the user data collected by your app encrypted in transit?"
"PSL_SUPPORTED_ACCOUNT_CREATION_METHODS","PSL_ACM_USER_ID_OTHER_AUTH","TRUE","MULTIPLE_CHOICE","Which of the following methods of account creation does your app support? Select all that apply / Username and other authentication"
"PSL_ACCOUNT_DELETION_URL","","https://rechargelight.in/delete-account","MAYBE_REQUIRED","Add a link that users can use to request that their account and associated data is deleted "
"PSL_SUPPORT_DATA_DELETION_BY_USER","DATA_DELETION_YES","TRUE","SINGLE_CHOICE","Do you provide a way for users to request that their data is deleted? / Yes"
"PSL_DATA_DELETION_URL","","https://rechargelight.in/delete-account","MAYBE_REQUIRED","Delete data URL"
"PSL_DATA_TYPES_PERSONAL","PSL_NAME","TRUE","MULTIPLE_CHOICE","Personal info / Name"
"PSL_DATA_TYPES_PERSONAL","PSL_PHONE","TRUE","MULTIPLE_CHOICE","Personal info / Phone number"
"PSL_DATA_TYPES_FINANCIAL","PSL_PURCHASE_HISTORY","TRUE","MULTIPLE_CHOICE","Financial info / Purchase history"
"PSL_DATA_TYPES_IDENTIFIERS","PSL_DEVICE_ID","TRUE","MULTIPLE_CHOICE","Device or other IDs / Device or other IDs"
"PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING","PSL_DATA_USAGE_ONLY_COLLECTED","TRUE","MULTIPLE_CHOICE","Data usage and handling (Name) / Is this data collected, shared, or both? / Collected"
"PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL","","FALSE","MAYBE_REQUIRED","Data usage and handling (Name) / Is this data processed ephemerally?"
"PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL","PSL_DATA_USAGE_USER_CONTROL_REQUIRED","TRUE","SINGLE_CHOICE","Data usage and handling (Name) / Is this data required for your app, or can users choose whether it's collected? / Data collection is required (users can't turn off this data collection)"
"PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE","PSL_APP_FUNCTIONALITY","TRUE","MULTIPLE_CHOICE","Data usage and handling (Name) / Why is this user data collected? Select all that apply. / App functionality"
"PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE","PSL_ACCOUNT_MANAGEMENT","TRUE","MULTIPLE_CHOICE","Data usage and handling (Name) / Why is this user data collected? Select all that apply. / Account management"
"PSL_DATA_USAGE_RESPONSES:PSL_PHONE:PSL_DATA_USAGE_COLLECTION_AND_SHARING","PSL_DATA_USAGE_ONLY_COLLECTED","TRUE","MULTIPLE_CHOICE","Data usage and handling (Phone number) / Is this data collected, shared, or both? / Collected"
"PSL_DATA_USAGE_RESPONSES:PSL_PHONE:PSL_DATA_USAGE_EPHEMERAL","","FALSE","MAYBE_REQUIRED","Data usage and handling (Phone number) / Is this data processed ephemerally?"
"PSL_DATA_USAGE_RESPONSES:PSL_PHONE:DATA_USAGE_USER_CONTROL","PSL_DATA_USAGE_USER_CONTROL_REQUIRED","TRUE","SINGLE_CHOICE","Data usage and handling (Phone number) / Is this data required for your app, or can users choose whether it's collected? / Data collection is required (users can't turn off this data collection)"
"PSL_DATA_USAGE_RESPONSES:PSL_PHONE:DATA_USAGE_COLLECTION_PURPOSE","PSL_APP_FUNCTIONALITY","TRUE","MULTIPLE_CHOICE","Data usage and handling (Phone number) / Why is this user data collected? Select all that apply. / App functionality"
"PSL_DATA_USAGE_RESPONSES:PSL_PHONE:DATA_USAGE_COLLECTION_PURPOSE","PSL_ACCOUNT_MANAGEMENT","TRUE","MULTIPLE_CHOICE","Data usage and handling (Phone number) / Why is this user data collected? Select all that apply. / Account management"
"PSL_DATA_USAGE_RESPONSES:PSL_PHONE:DATA_USAGE_COLLECTION_PURPOSE","PSL_FRAUD_PREVENTION_SECURITY","TRUE","MULTIPLE_CHOICE","Data usage and handling (Phone number) / Why is this user data collected? Select all that apply. / Fraud prevention, security, and compliance"
"PSL_DATA_USAGE_RESPONSES:PSL_PURCHASE_HISTORY:PSL_DATA_USAGE_COLLECTION_AND_SHARING","PSL_DATA_USAGE_ONLY_COLLECTED","TRUE","MULTIPLE_CHOICE","Data usage and handling (Purchase history) / Is this data collected, shared, or both? / Collected"
"PSL_DATA_USAGE_RESPONSES:PSL_PURCHASE_HISTORY:PSL_DATA_USAGE_EPHEMERAL","","FALSE","MAYBE_REQUIRED","Data usage and handling (Purchase history) / Is this data processed ephemerally?"
"PSL_DATA_USAGE_RESPONSES:PSL_PURCHASE_HISTORY:DATA_USAGE_USER_CONTROL","PSL_DATA_USAGE_USER_CONTROL_REQUIRED","TRUE","SINGLE_CHOICE","Data usage and handling (Purchase history) / Is this data required for your app, or can users choose whether it's collected? / Data collection is required (users can't turn off this data collection)"
"PSL_DATA_USAGE_RESPONSES:PSL_PURCHASE_HISTORY:DATA_USAGE_COLLECTION_PURPOSE","PSL_APP_FUNCTIONALITY","TRUE","MULTIPLE_CHOICE","Data usage and handling (Purchase history) / Why is this user data collected? Select all that apply. / App functionality"
"PSL_DATA_USAGE_RESPONSES:PSL_PURCHASE_HISTORY:DATA_USAGE_COLLECTION_PURPOSE","PSL_ACCOUNT_MANAGEMENT","TRUE","MULTIPLE_CHOICE","Data usage and handling (Purchase history) / Why is this user data collected? Select all that apply. / Account management"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_COLLECTION_AND_SHARING","PSL_DATA_USAGE_ONLY_COLLECTED","TRUE","MULTIPLE_CHOICE","Data usage and handling (Device or other IDs) / Is this data collected, shared, or both? / Collected"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_EPHEMERAL","","FALSE","MAYBE_REQUIRED","Data usage and handling (Device or other IDs) / Is this data processed ephemerally?"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_USER_CONTROL","PSL_DATA_USAGE_USER_CONTROL_REQUIRED","TRUE","SINGLE_CHOICE","Data usage and handling (Device or other IDs) / Is this data required for your app, or can users choose whether it's collected? / Data collection is required (users can't turn off this data collection)"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE","PSL_APP_FUNCTIONALITY","TRUE","MULTIPLE_CHOICE","Data usage and handling (Device or other IDs) / Why is this user data collected? Select all that apply. / App functionality"
